[Wed Jul 25 07:32:07 2018], vision worm classification ones, save result as [pic_middle/result_batch#19FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 07:32:09 2018], vision worm classification ones, save result as [pic_middle/result_batch#19FileName#2.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 07:32:12 2018], vision worm classification ones, save result as [pic_middle/result_batch#20FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:02:13 2018], vision worm classification ones, save result as [pic_middle/result_batch#21FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:02:15 2018], vision worm classification ones, save result as [pic_middle/result_batch#21FileName#2.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:03:52 2018], vision worm classification ones, save result as [pic_middle/result_batch#22FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:06:53 2018], vision worm classification ones, save result as [pic_middle/result_batch#23FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:09:57 2018], vision worm classification ones, save result as [pic_middle/result_batch#24FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:11:44 2018], vision worm classification ones, save result as [pic_middle/result_batch#25FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:18:31 2018], vision worm classification ones, save result as [pic_middle/result_batch#26FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:22:47 2018], vision worm classification ones, save result as [pic_middle/result_batch#27FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:26:20 2018], vision worm classification ones, save result as [pic_middle/result_batch#28FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:26:22 2018], vision worm classification ones, save result as [pic_middle/result_batch#29FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
[Wed Jul 25 09:44:08 2018], vision worm classification ones, save result as [pic_middle/result_batch#30FileName#1.jpg] with output [{'totalNbr': 0, 'bigAlive': 0, 'bigDead': 0, 'middleAlive': 0, 'middleDead': 0, 'smallAlive': 0, 'smallDead': 0, 'totalAlive': 0, 'totalDead': 0}].
